Product Name,Prices,Descriptions,Rating
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199","Black Gloss, True Wireless",4.1
Aroma NB121 Corridor Upto 40 Hours Playtime* Fast Charg...,₹249,"Carbon Black, In the Ear",3.9
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,"Red, True Wireless",4
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",₹299,"Beam Blue, In the Ear",3.7
"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹799,"Carbon Black, True Wireless",4.1
"TRIGGR Rizz with 40H Playback, Spherical Design, 13mm D...",₹599,"Jungle Green, In the Ear",4
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",₹999,"Jungle Green, On the Ear",4.1
"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"White, In the Ear",4.2
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,"Powder Blue, True Wireless",4.1
"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹699,"White, True Wireless",3.9
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,"Spring Green, True Wireless",4.1
"Leaf Buds X121 True Wireless, AI SOUND App,30H Playtime...",₹699,"Carbon Black, In the Ear",4
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,"Sky Black, In the Ear",4
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹999,"Blue, In the Ear",4.1
hybite Samsung Remote Compatible for all SAmsung Led / ...,₹200,Black,3.9
"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","₹1,899","Dark Grey, True Wireless",4.3
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,"Chrome Grey, In the Ear",4
MZ NB111 (Wireless Headphone) Magnetic Neckband 250h st...,₹228,"Black, In the Ear",3.8
"Boult Bassbox X625 Dolby Digital, 625W Power, 5.1 Chann...","₹13,999","Pure Black, 5.1 Channel",4.2
"Noise Buds VS102 Elite with 50Hr Playtime, ENC, Quad Mi...",₹999,"Carbon Black, True Wireless",4
OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"₹1,799","Deep Grey, True Wireless",4.4
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,399","Volt Black, True Wireless",4
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199","White Opal, True Wireless",4.1
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹300,"Blue, In the Ear",3.8
F FERONS Wireless rechargeable portable Premium bass Mu...,₹378,"Red, Stereo Channel",3.9
"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",₹159,"Black, In the Ear",3.7
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,"Black, True Wireless",4
OnePlus Bullets Wireless Z2 Bluetooth,"₹1,599","Acoustic Red, In the Ear",4.3
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹799,"Green, True Wireless",4.1
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,"Black, In the Ear",3.6
"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹799,"Mint Green, True Wireless",3.9
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,199","Classic Black, True Wireless",4.1
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹699,"Green Stone, In the Ear",3.7
Aroma NB138 Ascrow 32dB Active Noice Cancellation 70H* ...,₹480,"Midnight Black, In the Ear",3.9
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹999,"Black, In the Ear",4.1
"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",₹599,"Blue, In the Ear",4.2
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹999,"White, Grey, In the Ear",4.1
OnePlus Nord Buds 3 Bluetooth,"₹2,299","Chromatic Blue, True Wireless",4.3
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹899,"Army Green, True Wireless",4
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"Black Sun, In the Ear",3.7
Jeevan jyoti agency Earbuds Touch Waterproof LED Digita...,₹464,"Black, True Wireless",3.7
boAt 100 Wired,₹349,"Black, In the Ear",4.3
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",₹999,"Cobalt Blue, On the Ear",4.1
"Boult W20 with Zen ENC Mic,40H Battery Life,Low Latency...",₹799,"Space Black, True Wireless",4.1
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹899,"Cool Sapphire, True Wireless",4
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"Grey, True Wireless",4.1
